pap_pro_id,exam_id,exam_paper_id,exam_param_id,problem_id,order,last_submit_time,submit_id,is_aced,used_time,submit_count,score,create_time,modify_time,modify_user_id,know_name
115161,133,22561,830,32,1,2022-01-05 10:35:54,446100,1,18654,14,6,2022-01-05 09:27:57,2022-01-05 10:35:56,-1,动态规划
115162,133,22561,831,41,2,2022-01-05 11:15:34,447813,5,0,34,0,2022-01-05 09:27:57,2022-01-05 11:15:36,-1,贪心策略
115163,133,22561,832,31,3,2022-01-05 11:31:34,448442,5,0,56,0,2022-01-05 09:27:57,2022-01-05 11:31:36,-1,时空权衡
115164,133,22561,833,134,4,2022-01-05 10:40:52,446313,5,0,2,0.96,2022-01-05 09:27:57,2022-01-05 10:40:54,-1,迭代改进
115155,133,22562,829,3,0,2022-01-05 12:02:41,449445,2,0,2,4,2022-01-05 09:27:57,2022-01-14 17:35:38,3088,动态规划
115156,133,22562,830,33,1,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115157,133,22562,831,41,2,2022-01-05 09:55:02,444516,1,3002,3,6,2022-01-05 09:27:57,2022-01-05 09:55:04,-1,贪心策略
115158,133,22562,832,31,3,2022-01-05 12:04:46,449496,5,0,3,0,2022-01-05 09:27:57,2022-01-05 12:04:49,-1,时空权衡
115159,133,22562,833,134,4,2022-01-05 11:37:52,448695,2,0,5,0.96,2022-01-05 09:27:57,2022-01-05 11:37:52,-1,迭代改进
115150,133,22563,829,628,0,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115151,133,22563,830,33,1,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115152,133,22563,831,35,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115153,133,22563,832,449,3,2022-01-05 10:54:14,446888,5,0,11,0,2022-01-05 09:27:57,2022-01-05 10:54:16,-1,时空权衡
115154,133,22563,833,134,4,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,迭代改进
115145,133,22564,829,3,0,2022-01-05 10:37:13,446140,5,0,1,0,2022-01-05 09:27:57,2022-01-05 10:37:15,-1,动态规划
115146,133,22564,830,32,1,2022-01-05 09:55:03,444517,1,603,1,6,2022-01-05 09:27:57,2022-01-05 09:55:06,-1,动态规划
115147,133,22564,831,35,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115148,133,22564,832,31,3,2022-01-05 11:46:16,448990,5,0,3,0,2022-01-05 09:27:57,2022-01-05 11:46:18,-1,时空权衡
115149,133,22564,833,445,4,2022-01-05 10:13:58,445137,1,4138,3,6,2022-01-05 09:27:57,2022-01-05 10:13:59,-1,迭代改进
115140,133,22565,829,3,0,2022-01-05 12:03:15,449459,5,0,6,0,2022-01-05 09:27:57,2022-01-05 12:03:17,-1,动态规划
115141,133,22565,830,33,1,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115142,133,22565,831,35,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115143,133,22565,832,31,3,2022-01-05 11:19:09,447951,5,0,5,0,2022-01-05 09:27:57,2022-01-05 11:19:12,-1,时空权衡
115144,133,22565,833,445,4,2022-01-05 10:10:28,444957,1,1528,1,6,2022-01-05 09:27:57,2022-01-05 10:10:30,-1,迭代改进
115135,133,22566,829,3,0,2022-01-05 10:30:20,445845,5,0,1,0,2022-01-05 09:27:57,2022-01-05 10:30:22,-1,动态规划
115136,133,22566,830,32,1,2022-01-05 09:55:57,444525,1,3057,3,6,2022-01-05 09:27:57,2022-01-05 09:55:59,-1,动态规划
115137,133,22566,831,35,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115138,133,22566,832,449,3,2022-01-05 11:49:50,449070,2,0,19,4,2022-01-05 09:27:57,2022-01-14 17:35:19,3088,时空权衡
